city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,10.0,0.21,0.26,0.25,0.22,7.32,0.0,38.11,297.78,298.08,293.53,300.3,296.4,8.3,77.32,0.0,14.92,2.24,26.01,8.31,31.1,20.6,10.9,21
sj,11.0,0.13,0.12,0.21,0.24,10.81,0.0,35.08,297.43,297.64,293.34,300.1,295.7,13.37,78.14,0.0,14.79,2.73,25.93,8.97,31.7,20.6,3.6,17
sj,12.0,0.13,0.18,0.15,0.16,2.51,0.0,30.13,297.41,297.61,293.25,300.4,295.4,11.1,77.88,0.0,14.75,2.54,26.09,6.97,32.2,21.1,5.7,17
sj,13.0,0.28,0.22,0.25,0.25,-2.05,0.0,36.5,297.47,297.69,293.74,301.0,295.7,21.26,80.0,0.0,15.15,2.76,26.06,6.59,32.2,22.2,26.9,16
sj,14.0,0.17,0.22,0.26,0.22,6.5,12.92,42.48,297.06,297.19,292.48,299.4,295.4,20.9,75.66,12.92,13.99,2.29,25.24,6.81,28.9,20.6,4.1,16
sj,15.0,0.18,0.28,0.18,0.18,-8.23,6.0,28.98,297.37,297.66,293.62,299.2,295.9,19.78,79.63,6.0,14.99,2.63,25.3,6.51,28.9,21.1,18.8,15
sj,16.0,0.08,0.1,0.16,0.21,7.87,44.57,86.22,297.28,297.39,292.17,298.9,296.0,21.9,73.35,44.57,13.73,2.01,25.51,6.27,29.4,21.1,19.4,23
sj,17.0,0.13,0.19,0.19,0.22,14.5,32.72,57.33,298.07,298.24,294.03,299.6,296.7,19.7,78.45,32.72,15.46,2.3,26.53,8.01,32.8,21.7,3.5,16
sj,18.0,0.21,0.16,0.18,0.18,-0.4,0.0,26.12,298.83,299.07,294.97,301.0,297.1,8.38,79.36,0.0,16.31,2.8,27.31,7.71,32.2,22.8,2.8,17
sj,19.0,0.12,0.18,0.11,0.11,-5.14,35.38,49.77,298.64,298.72,294.81,300.9,297.2,20.6,79.54,35.38,16.19,2.41,26.93,6.93,31.7,22.8,40.2,12
sj,20.0,0.13,0.1,0.15,0.1,4.58,4.16,32.79,298.33,298.41,294.62,300.1,296.6,35.37,80.07,4.16,15.97,2.5,26.53,6.59,30.6,22.8,32.8,17
sj,21.0,0.07,0.13,0.1,0.14,-7.94,51.16,75.29,298.58,298.46,295.12,300.4,297.0,59.3,81.3,51.16,16.5,1.86,27.39,6.7,31.7,22.8,3.6,10
sj,22.0,0.14,0.16,0.21,0.26,-0.64,55.37,79.87,298.81,298.89,295.27,301.1,297.3,43.4,81.09,55.37,16.65,2.14,27.94,7.01,33.3,23.3,5.6,15
sj,23.0,0.09,0.09,0.12,0.17,0.83,8.08,49.51,299.52,299.75,294.93,301.6,297.4,5.0,76.07,8.08,16.32,2.87,28.07,7.5,33.3,23.3,20.6,19
sj,24.0,0.11,0.16,0.17,0.17,11.51,6.09,47.81,299.89,300.07,295.49,301.8,298.4,5.82,77.04,6.09,16.88,2.4,28.23,7.97,33.9,23.9,9.4,21
sj,25.0,0.06,0.09,0.13,0.13,1.66,44.25,67.92,299.78,299.97,296.3,301.9,298.4,17.0,81.42,44.25,17.7,2.17,28.93,7.14,33.9,25.0,3.3,14
sj,26.0,0.08,0.12,0.19,0.16,11.21,73.76,111.99,299.41,299.48,296.23,302.5,297.7,37.8,82.75,73.76,17.63,2.04,27.91,7.4,32.8,22.8,12.4,18
sj,27.0,0.13,0.18,0.2,0.2,-2.36,26.7,57.96,299.37,299.39,295.95,302.4,297.4,51.99,81.69,26.7,17.35,2.14,28.37,6.6,32.8,23.9,24.7,13
sj,28.0,0.1,0.12,0.14,0.17,-7.17,6.13,39.54,300.0,300.17,295.79,302.1,297.9,18.7,77.88,6.13,17.15,2.43,28.41,6.67,32.8,24.4,4.6,14
sj,29.0,0.13,0.08,0.1,0.12,-2.06,29.67,71.71,300.23,300.34,296.08,302.2,298.6,23.6,78.24,29.67,17.47,2.43,28.8,6.91,33.9,23.9,12.2,18
sj,30.0,0.08,0.01,0.14,0.13,4.28,56.58,110.06,299.81,299.98,296.33,302.1,298.2,27.4,81.48,56.58,17.73,2.24,28.0,5.89,32.8,24.4,43.1,23
sj,31.0,0.13,0.12,0.19,0.16,0.49,48.41,109.58,299.85,299.96,296.48,302.0,298.3,34.39,81.9,48.41,17.88,2.3,28.57,6.34,33.3,25.0,18.0,25
sj,32.0,0.07,0.11,0.19,0.21,6.02,13.29,133.44,299.83,299.86,296.47,301.8,298.1,31.5,81.96,13.29,17.9,2.24,28.5,6.51,32.8,24.4,12.5,62
sj,33.0,0.06,0.12,0.16,0.16,6.99,0.0,114.55,300.42,300.65,296.48,302.8,298.7,20.4,79.2,0.0,17.91,2.19,29.4045,5.47,33.3,25.0,3.3,60
sj,34.0,0.06,0.1,0.13,0.14,11.5,51.88,204.98,300.31,300.39,296.58,302.6,298.3,25.47,80.26,51.88,18.01,2.4,29.27,7.51,34.4,24.4,1.5,76
sj,35.0,0.07,0.06,0.23,0.19,15.23,55.2,186.04,300.12,300.2,296.67,302.3,298.6,23.8,81.59,55.2,18.09,2.37,28.16,7.0,32.2,23.9,10.7,66
sj,36.0,0.11,0.09,0.14,0.16,5.7,65.9,193.41,300.11,300.15,296.8,302.3,298.4,42.33,82.31,65.9,18.26,2.13,28.94,7.54,34.4,24.4,27.2,64
sj,37.0,0.1,0.16,0.11,0.14,8.24,33.56,167.42,300.54,300.64,296.45,302.8,298.7,11.4,78.63,33.56,17.9,3.04,28.97,7.7,33.9,23.3,61.0,68
sj,38.0,0.11,0.15,0.17,0.17,11.08,29.53,203.31,300.53,300.6,296.9,303.0,298.8,28.8,80.88,29.53,18.4,2.46,28.91,6.8,33.3,24.4,7.9,89
sj,39.0,0.17,0.15,0.17,0.22,10.02,73.55,257.78,300.06,300.05,296.59,302.4,298.2,77.5,81.42,73.55,18.04,2.07,28.14,6.69,32.8,24.4,31.8,92
sj,40.0,0.13,0.17,0.18,0.2,27.35,31.68,313.3,299.65,299.69,296.4,301.6,298.3,60.0,82.49,31.68,17.85,2.04,27.74,6.91,32.8,23.3,26.5,140
sj,41.0,0.09,0.09,0.15,0.17,17.32,32.1,264.35,299.56,299.67,295.89,302.0,297.6,55.1,80.52,32.1,17.34,2.26,27.66,6.61,31.7,22.8,8.3,116
sj,42.0,0.01,0.13,0.11,0.11,15.84,3.29,295.22,299.9,299.92,296.02,302.0,298.1,31.19,79.38,3.29,17.43,2.3,28.54,7.63,33.9,24.4,21.3,142
sj,43.0,0.19,0.12,0.18,0.2,17.15,50.24,315.28,299.89,299.99,295.46,302.0,298.0,12.6,76.78,50.24,16.85,2.81,27.83,7.09,32.8,23.3,3.5,129
sj,44.0,0.09,0.1,0.13,0.12,23.83,72.61,350.76,299.91,299.99,295.92,302.4,298.1,26.83,78.99,72.61,17.38,3.04,28.11,7.26,32.8,24.4,4.8,140
sj,45.0,0.05,0.05,0.11,0.12,16.6,42.92,316.32,299.09,299.28,295.57,302.6,297.3,74.83,81.06,42.92,16.97,2.9,27.19,6.76,32.2,22.8,41.4,140
sj,46.0,0.1,0.11,0.19,0.2,16.51,78.73,329.76,298.69,298.79,295.62,301.0,297.4,72.7,83.51,78.73,17.06,1.97,26.66,6.74,31.1,22.2,28.2,127
sj,47.0,0.01,0.03,0.14,0.18,21.41,0.0,256.46,298.7,298.71,294.03,300.8,297.1,15.1,75.55,0.0,15.46,2.27,26.31,6.81,30.0,22.2,9.4,129
sj,48.0,0.09,0.15,0.18,0.17,29.19,35.34,371.25,298.38,298.5,294.94,301.1,296.9,78.43,81.49,35.34,16.32,2.03,26.27,6.59,30.0,22.2,76.2,169
sj,49.0,0.08,0.14,0.13,0.13,16.83,0.0,282.2,298.64,298.84,294.97,300.5,297.7,35.1,80.28,0.0,16.34,1.8,26.73,6.06,30.6,23.3,19.6,141
sj,50.0,-0.03,0.21,0.22,0.23,16.48,0.0,210.91,298.52,298.59,294.51,300.2,297.3,26.8,78.62,0.0,15.88,2.01,25.61,5.86,29.4,21.7,34.2,108
sj,51.0,0.13,0.05,0.11,0.05,12.35,0.0,149.22,298.08,298.14,292.87,299.6,296.6,8.76,72.86,0.0,14.34,2.07,25.0,6.16,28.9,20.6,6.1,78
sj,52.0,0.12,0.12,0.14,0.13,15.64,0.0,126.19,296.52,296.51,292.05,299.2,294.3,19.3,76.13,0.0,13.64,2.21,24.36,6.19,28.3,19.4,13.7,70
sj,1.0,0.13,0.16,0.19,0.18,11.15,38.34,56.98,298.65,299.29,295.64,302.4,296.2,27.24,80.3,38.34,17.09,2.86,27.41,7.3,32.8,22.2,23.85,81
sj,2.0,0.1,0.07,0.14,0.11,14.83,180.49650000000017,412.12,297.91,298.12,294.46,300.4,296.1,18.3,81.3,180.49650000000017,15.88,2.3,25.66,7.5,30.6,20.6,58.2,104
sj,3.0,0.22,0.23,0.2,0.2,15.75,3.12,175.95,297.34,297.49,294.47,300.2,295.6,19.8,84.12,3.12,15.83,1.86,25.47,6.17,31.1,21.7,32.3,90
sj,4.0,0.12,0.13,0.19,0.17,5.99,0.0,176.73,297.09,297.34,293.02,299.5,295.6,5.11,78.29,0.0,14.48,2.36,24.86,7.44,30.6,20.0,1.3,85
sj,5.0,0.13,0.05,0.17,0.19,5.17,0.0,101.03,297.42,297.55,292.72,299.3,295.5,6.5,75.22,0.0,14.19,2.44,24.8,6.59,28.9,20.0,9.2,55
sj,6.0,0.1,0.08,0.11,0.19,12.15,0.0,101.11,296.92,297.13,292.62,300.7,294.5,16.2,77.06,0.0,14.12,3.4,24.71,7.36,30.6,20.0,3.0,53
sj,7.0,0.13,0.13,0.2,0.18,13.46,38.34,56.98,297.8,298.06,294.65,300.2,295.3,20.1,82.88,38.34,16.06,2.2,26.03,6.57,32.2,20.0,1.3,65
sj,8.0,0.13,0.18,0.19,0.2,4.98,38.34,56.98,297.9,298.11,293.63,300.1,296.3,4.4,77.3,38.34,15.01,2.59,25.76,7.39,33.9,21.7,8.9,33
sj,9.0,0.11,0.08,0.17,0.16,4.24,38.34,56.98,297.47,297.68,292.97,299.3,296.3,14.4,76.04,38.34,14.38,2.41,25.29,6.17,29.4,21.7,16.0,38
sj,10.0,0.13,0.18,0.19,0.19,2.47,0.0,110.5,297.65,297.8,293.32,299.8,295.7,5.5,76.88,0.0,14.7,2.31,25.66,7.81,31.1,20.6,2.9,59
sj,11.0,0.09,0.09,0.13,0.16,0.36,23.22,106.67,297.63,297.79,293.54,299.6,296.1,12.6,78.06,23.22,14.94,2.51,25.79,7.76,31.7,21.7,5.9,40
sj,12.0,0.05,0.08,0.14,0.13,12.46,0.0,67.28,297.95,298.15,293.71,300.4,295.5,3.56,77.51,0.0,15.14,2.7,26.1,7.86,31.1,21.7,4.8,37
sj,13.0,0.13,0.12,0.13,0.11,7.0,0.0,57.12,297.22,297.43,293.58,300.3,295.8,21.0,80.24,0.0,14.97,2.8,26.2,5.71,32.2,22.2,2.3,29
sj,14.0,0.1,0.08,0.19,0.18,10.63,122.27,186.77,297.98,298.07,293.88,300.2,296.0,16.2,78.07,122.27,15.26,2.74,26.23,7.53,31.1,21.7,24.1,30
sj,15.0,0.1,0.13,0.12,0.12,-0.37,43.21,98.88,298.68,298.88,294.2,301.6,295.9,11.1,76.38,43.21,15.61,3.61,26.99,7.84,32.8,21.7,0.0,30
sj,16.0,0.08,0.1,0.16,0.17,6.22,83.11,138.94,297.83,298.0,294.94,300.4,296.6,70.6,84.18,83.11,16.32,2.14,26.81,5.89,31.7,22.8,24.5,28
sj,17.0,0.09,0.11,0.15,0.15,2.85,36.16,77.87,298.09,298.26,294.05,300.6,296.5,25.8,78.43,36.16,15.45,2.83,26.67,7.24,31.7,22.2,4.6,23
sj,18.0,0.01,0.06,0.07,0.09,6.42,0.0,52.02,298.2,298.52,293.4,302.1,295.6,4.0,74.93,0.0,14.9,3.61,27.37,6.5,33.9,23.3,1.6,24
sj,19.0,0.11,0.22,0.18,0.21,0.19,13.92,58.5,298.34,298.44,294.22,302.1,296.0,45.0,78.48,13.92,15.75,3.0,26.79,6.91,33.9,22.2,32.0,29
sj,20.0,0.1,-0.01,0.14,0.13,1.41,2.94,59.89,298.33,298.51,294.28,300.4,296.4,27.5,78.38,2.94,15.69,2.23,27.44,5.96,31.1,22.8,8.1,26
sj,21.0,0.1,0.07,0.06,0.06,9.1,71.85,114.67,298.41,298.56,295.77,301.0,296.8,203.96500000000026,85.65,71.85,17.23,2.71,27.86,6.77,32.8,23.3,22.1,23
sj,22.0,0.12,0.12,0.22,0.21,7.56,180.49650000000017,231.47,298.62,298.75,296.33,301.4,297.0,130.3,87.3,180.49650000000017,17.83,2.36,27.43,5.96,31.7,23.9,80.2,20
sj,23.0,0.12,0.14,0.11,0.1,-4.86,42.24,74.26,299.1,299.23,296.52,301.0,297.8,50.0,85.83,42.24,18.0,2.11,27.5,6.91,31.7,22.8,103.9,19
sj,24.0,0.08,0.09,0.1,0.11,-1.19,43.21,85.29,298.9,298.96,296.15,300.5,297.6,43.8,84.87,43.21,17.57,1.99,28.2,6.87,32.8,24.4,102.4,20
sj,25.0,0.1,0.15,0.18,0.19,5.04,52.07,102.99,298.93,298.96,296.04,301.0,297.0,37.1,84.25,52.07,17.44,2.0,28.29,6.74,32.8,24.4,29.8,26
sj,26.0,0.13,0.13,0.14,0.11,1.66,52.96,118.58,299.57,299.55,296.38,301.8,298.0,33.7,82.78,52.96,17.81,1.73,28.49,7.03,32.8,23.9,5.4,29
sj,27.0,0.12,0.14,0.17,0.17,-2.37,10.74,66.09,300.18,300.38,296.28,301.8,298.3,10.0,79.33,10.74,17.67,2.27,29.23,6.64,33.3,25.0,3.1,31
sj,28.0,0.13,0.19,0.15,0.15,5.39,1.86,60.56,300.29,300.56,296.2,302.2,298.7,5.4,78.5,1.86,17.57,2.79,28.73,6.61,32.8,24.4,1.8,28
sj,29.0,0.11,0.13,0.14,0.18,-2.82,94.14,150.43,299.79,299.83,296.05,301.8,298.0,46.1,80.15,94.14,17.43,2.0,27.63,6.04,31.7,23.9,45.2,26
sj,30.0,-0.14,0.06,0.14,0.13,7.15,33.51,89.98,299.23,299.37,295.88,301.1,298.0,69.04,81.98,33.51,17.25,2.03,27.56,6.86,31.7,23.3,41.0,32
sj,31.0,0.05,0.13,0.13,0.15,15.71,31.12,110.75,299.03,299.11,295.75,300.8,297.7,58.8,82.35,31.12,17.11,1.81,27.97,6.93,32.2,22.8,14.2,35
sj,32.0,0.15,0.17,0.15,0.15,-0.81,59.22,122.71,299.76,299.91,296.16,301.5,297.6,27.1,80.78,59.22,17.55,2.43,28.07,6.1,31.7,23.3,16.6,33
sj,33.0,0.16,0.13,0.22,0.22,2.68,65.55,120.22,299.22,299.22,296.01,301.3,297.8,81.8,82.75,65.55,17.42,1.96,27.67,7.56,31.7,22.8,41.9,30
sj,34.0,0.11,0.14,0.19,0.19,3.66,68.22,176.25,299.49,299.74,296.21,301.9,298.3,61.6,82.32,68.22,17.6,2.24,28.21,6.93,33.9,24.4,42.7,52
sj,35.0,0.09,0.08,0.18,0.22,5.66,27.7,152.36,300.07,300.16,296.06,302.2,298.1,28.9,78.86,27.7,17.46,2.43,28.27,6.83,32.2,23.9,3.1,59
sj,36.0,0.13,0.22,0.12,0.13,14.63,61.55,196.6,300.11,300.16,296.18,302.0,298.4,34.36,79.2,61.55,17.56,2.2,28.73,7.49,34.4,24.4,6.5,67
sj,37.0,0.12,0.18,0.24,0.21,15.05,21.34,146.57,299.73,299.76,295.94,302.2,298.2,87.2,79.93,21.34,17.35,2.03,28.03,6.54,32.2,23.9,23.6,65
sj,38.0,0.05,0.07,0.18,0.16,15.49,41.32,190.86,299.98,300.07,296.11,302.2,298.4,32.6,79.53,41.32,17.54,2.34,28.14,7.09,32.8,23.9,28.9,74
sj,39.0,0.14,0.14,0.2,0.21,9.21,95.55,234.04,299.29,299.38,296.28,301.4,297.9,116.79,83.7,95.55,17.75,2.04,27.56,7.24,32.8,23.3,60.9,70
sj,40.0,0.2,0.13,0.16,0.09,3.25,97.7,219.24,299.62,299.71,296.13,302.3,297.6,34.2,81.3,97.7,17.6,2.3,27.97,7.23,33.3,23.3,22.6,61
sj,41.0,0.14,0.11,0.18,0.19,7.57,23.1,130.41,300.27,300.33,296.42,302.8,298.3,19.4,79.74,23.1,17.9,3.26,28.89,7.8,35.0,23.9,0.0,53
sj,42.0,0.34,0.2,0.19,0.18,-4.73,18.95,177.1,300.12,300.23,295.89,302.6,297.7,11.3,77.83,18.95,17.31,2.97,29.16,7.11,33.3,25.0,8.0,76
sj,43.0,-0.02,0.03,0.1,0.11,-3.1,12.18,132.14,299.85,299.91,295.65,301.6,298.4,21.5,77.88,12.18,17.04,2.51,28.66,7.46,32.8,23.9,11.9,61
sj,44.0,0.12,0.13,0.12,0.11,0.38,80.58,191.74,299.8,299.84,295.81,302.3,297.0,25.0,78.91,80.58,17.25,3.03,28.67,7.29,33.3,23.9,18.6,57
sj,45.0,0.09,0.12,0.22,0.25,12.72,64.0,146.34,299.81,299.85,296.27,301.5,298.5,27.7,81.05,64.0,17.73,2.07,28.39,7.7,33.3,22.2,14.2,44
sj,46.0,0.12,0.14,0.09,0.07,2.6,40.06,111.17,299.04,299.21,295.07,300.9,297.4,31.72,79.01,40.06,16.48,2.41,27.54,6.84,31.7,22.8,161.0,34
sj,47.0,0.08,0.06,0.13,0.06,3.57,43.44,124.9,298.34,298.29,294.65,300.6,296.6,49.97,80.26,43.44,16.07,1.83,26.69,7.0,31.1,22.2,26.1,47
sj,48.0,0.1,0.1,0.16,0.12,10.76,47.42,172.77,298.66,298.74,296.04,301.1,296.9,128.1,85.59,47.42,17.53,2.0,27.4,6.77,32.8,23.3,46.3,60
sj,49.0,0.11,0.07,0.18,0.15,19.88,53.73,176.12,298.46,298.55,295.25,300.6,297.0,54.8,82.65,53.73,16.68,1.93,26.63,7.24,31.1,22.2,62.6,60
sj,50.0,0.05,0.11,0.2,0.22,8.53,86.28,203.1,298.73,298.91,294.65,300.5,297.5,19.23,78.31,86.28,16.02,2.11,26.91,7.19,31.1,22.2,9.4,53
